,year,fuel,car_running,mileage,car
7438,2013,Diesel,less than 500000,more than 20,Maruti Ritz VDi
7729,2008,Petrol,less than 100000,more than 15,Maruti Omni 8
783,2009,Diesel,less than 500000,0-15,Mahindra Bolero SLX
1928,2012,Diesel,less than 100000,more than 20,Nissan Sunny Diesel
7470,2017,Diesel,less than 500000,more than 25,Honda WR-V i-DTEC
7439,2003,Diesel,less than 500000,0-15,Mahindra Scorpio 2.6
3848,2016,Petrol,less than 25000,0-15,Skoda Rapid 1.6
1790,2011,Petrol,less than 100000,more than 15,Hyundai Verna Transform
8,2011,Diesel,less than 100000,more than 20,Other
6941,2007,Diesel,less than 100000,0-15,Tata New Safari
5036,2019,Diesel,less than 25000,more than 15,Mahindra XUV500 W10
6097,2014,Diesel,less than 500000,more than 20,Renault Duster 85PS
3570,2012,Diesel,less than 100000,more than 20,Tata Indica Vista
1129,2019,Diesel,less than 10000,more than 15,BMW X4 M
7848,2019,Petrol,less than 25000,more than 25,Renault KWID RXT
7702,2017,Diesel,less than 50000,more than 15,Jaguar XF 2.0
517,2016,Petrol,less than 50000,more than 15,Hyundai i20 Asta
2090,2016,Diesel,less than 500000,more than 15,Mahindra Bolero 2011-2019
3986,2015,Diesel,less than 100000,more than 20,Fiat Grande Punto
4459,2014,Petrol,less than 100000,more than 15,Hyundai Grand i10
993,2006,Diesel,less than 500000,more than 15,Tata Indigo LS
1570,2019,Petrol,less than 25000,0-15,Other
286,2009,Diesel,less than 500000,0-15,Other
1136,2017,Diesel,less than 50000,more than 15,Jaguar XF 2.0
1722,2017,Diesel,less than 100000,more than 20,Hyundai Grand i10
2568,2017,Petrol,less than 25000,more than 20,Maruti Alto 800
3677,2016,Diesel,less than 100000,more than 15,Other
4923,2019,Diesel,less than 100000,more than 15,Mahindra Bolero 2011-2019
9,2013,Diesel,less than 500000,more than 20,Ford Figo Diesel
2938,2020,Diesel,less than 10000,0-15,Other
7190,2013,Diesel,less than 100000,0-15,Toyota Innova 2.5
2724,2016,Petrol,less than 50000,more than 20,Maruti Alto 800
5837,2020,Petrol,less than 10000,more than 15,Tata Nexon 1.2
7028,2016,Petrol,less than 50000,more than 20,Maruti Wagon R
7271,2012,Petrol,less than 100000,more than 20,Maruti Alto K10
3814,2012,Diesel,less than 500000,0-15,Toyota Innova 2.5
2931,2014,Diesel,less than 100000,more than 15,Mahindra Bolero 2011-2019
142,2019,Petrol,less than 25000,0-15,Other
2554,2015,Diesel,less than 50000,more than 20,Toyota Etios Liva
8039,2011,Petrol,less than 500000,more than 20,Maruti Alto K10
